"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"297",2014 Q1,"New Commitment","WEAPONS",73.75
"298",2014 Q1,"Technical Commitment","ALCOHOL & DRUG",59.36
"299",2014 Q1,"Technical Commitment","DRIVING",34.54
"300",2014 Q1,"Technical Commitment","DRUG POSSESSION ONLY",45.52
"301",2014 Q1,"Technical Commitment","MURDER",49.21
"302",2014 Q1,"Technical Commitment","OTHER",12.67
"303",2014 Q1,"Technical Commitment","PERSON",137.4
"304",2014 Q1,"Technical Commitment","PROPERTY",162.31
"305",2014 Q1,"Technical Commitment","SEX OFFENSE",204.89
"306",2014 Q1,"Technical Commitment","WEAPONS",11.54
"307",2014 Q2,"New Commitment","ALCOHOL & DRUG",511.28
"308",2014 Q2,"New Commitment","DRIVING",221.9
"309",2014 Q2,"New Commitment","DRUG POSSESSION ONLY",301.41
"310",2014 Q2,"New Commitment","MURDER",674.35
"311",2014 Q2,"New Commitment","OTHER",88.32
"312",2014 Q2,"New Commitment","PERSON",1146.25
"313",2014 Q2,"New Commitment","PROPERTY",1227.73
"314",2014 Q2,"New Commitment","SEX OFFENSE",2024.76
"315",2014 Q2,"New Commitment","WEAPONS",80.32
"316",2014 Q2,"Technical Commitment","ALCOHOL & DRUG",64.56
"317",2014 Q2,"Technical Commitment","DRIVING",33.91
"318",2014 Q2,"Technical Commitment","DRUG POSSESSION ONLY",50.93
"319",2014 Q2,"Technical Commitment","MURDER",51.39
"320",2014 Q2,"Technical Commitment","OTHER",11.76
"321",2014 Q2,"Technical Commitment","PERSON",140.72
"322",2014 Q2,"Technical Commitment","PROPERTY",185.55
"323",2014 Q2,"Technical Commitment","SEX OFFENSE",203.85
"324",2014 Q2,"Technical Commitment","WEAPONS",12.65
"325",2014 Q3,"New Commitment","ALCOHOL & DRUG",512.05
"326",2014 Q3,"New Commitment","DRIVING",217.4
"327",2014 Q3,"New Commitment","DRUG POSSESSION ONLY",289.81
"328",2014 Q3,"New Commitment","MURDER",673.67
"329",2014 Q3,"New Commitment","OTHER",89.01
"330",2014 Q3,"New Commitment","PERSON",1136.48
"331",2014 Q3,"New Commitment","PROPERTY",1231.73
"332",2014 Q3,"New Commitment","SEX OFFENSE",2026.07
"333",2014 Q3,"New Commitment","WEAPONS",75.67
"334",2014 Q3,"Technical Commitment","ALCOHOL & DRUG",56.42
"335",2014 Q3,"Technical Commitment","DRIVING",42.15
"336",2014 Q3,"Technical Commitment","DRUG POSSESSION ONLY",50.45
